metric,display_name,low_ratio,high_ratio,low_value,high_value,endpoint_change_percent,linear_slope_per_unit_ratio,linear_r_squared,initial_soc_case
avg_charging_session_duration_minutes_human_ev,Human EV charging-session duration (minutes),0.8,1.2,17.264033335291927,23.92779905112521,38.59912447116809,15.96548421334124,0.9744607317498568,0.875
avg_daily_charging_sessions_per_human_ev,Human EV charging sessions per vehicle-day,0.8,1.2,5.716666666666666,5.82,1.807580174927126,0.6909049683983836,0.4046146745185904,0.875
avg_daily_charging_sessions_per_vehicle,All-fleet charging sessions per vehicle-day,0.8,1.2,2.858333333333333,2.91,1.807580174927126,0.3454524841991918,0.4046146745185904,0.875
avg_wait_minutes_waiting_charging_vehicles,Positive charger-queue wait (minutes),0.8,1.2,7.974815724815724,15.339869581894895,92.35390648790644,15.717820077268554,0.8197441351778871,0.875
mean_completed_orders,Completed orders,0.8,1.2,8034.0,6334.0,-21.16006970375902,-4237.513816852303,0.998014820644723,0.875
mean_service_ratio,Service ratio,0.8,1.2,0.0625735047860864,0.0493329075572655,-21.16006970375903,-0.0330042433532381,0.998014820644723,0.875
avg_charging_session_duration_minutes_human_ev,Human EV charging-session duration (minutes),0.8,1.2,24.86387024245771,30.41291707869797,22.317711531347474,13.501013671421772,0.9359700968401126,0.45
avg_daily_charging_sessions_per_human_ev,Human EV charging sessions per vehicle-day,0.8,1.2,5.739999999999999,5.573333333333333,-2.9036004645760616,-0.3418530170336965,0.1681860621894689,0.45
avg_daily_charging_sessions_per_vehicle,All-fleet charging sessions per vehicle-day,0.8,1.2,2.8699999999999997,2.786666666666666,-2.9036004645760616,-0.1709265085168482,0.1681860621894689,0.45
avg_wait_minutes_waiting_charging_vehicles,Positive charger-queue wait (minutes),0.8,1.2,150.56003980539583,160.2638720927805,6.445157891780062,31.558499850749147,0.3896392162323211,0.45
mean_completed_orders,Completed orders,0.8,1.2,4791.333333333333,3984.6666666666665,-16.835953805482117,-1989.1902615990696,0.8716353841049199,0.45
mean_service_ratio,Service ratio,0.8,1.2,0.0373177146209944,0.0310349214261421,-16.835953805482117,-0.0154929806266624,0.8716353841049191,0.45
avg_charging_session_duration_minutes_human_ev,Human EV charging-session duration (minutes),0.8,1.2,41.77939495798319,46.82509539842872,12.077006968434812,10.394677305859462,0.260824593875036,0.15
avg_daily_charging_sessions_per_human_ev,Human EV charging sessions per vehicle-day,0.8,1.2,1.1133333333333333,0.99,-11.077844311377229,-0.2096420372417309,0.2135687832015257,0.15
avg_daily_charging_sessions_per_vehicle,All-fleet charging sessions per vehicle-day,0.8,1.2,0.8999999999999999,0.8366666666666666,-7.037037037037042,-0.1105234815633596,0.2451820589565811,0.15
avg_wait_minutes_waiting_charging_vehicles,Positive charger-queue wait (minutes),0.8,1.2,87.05385490846423,86.90859717704636,-0.1668596199106975,0.3274710916044797,7.90383834956554e-05,0.15
mean_completed_orders,Completed orders,0.8,1.2,2678.6666666666665,2189.6666666666665,-18.255350920856152,-1189.347844571039,0.9255203642839672,0.15
mean_service_ratio,Service ratio,0.8,1.2,0.0208630273197656,0.0170544084698283,-18.255350920856177,-0.0092633386911361,0.925520364283968,0.15
