configured_initial_battery_mean,realized_initial_battery_mean,realized_initial_battery_mean_human_ev,realized_initial_battery_mean_aev,battery_consumption_ratio,effective_consumption_wh_per_mile,effective_consumption_kwh_per_km,num_seeds,avg_daily_charging_sessions_per_human_ev,std_avg_daily_charging_sessions_per_human_ev,avg_daily_charging_sessions_per_aev,std_avg_daily_charging_sessions_per_aev,avg_daily_charging_sessions_per_vehicle,std_avg_daily_charging_sessions_per_vehicle,avg_charging_session_duration_minutes_human_ev,std_avg_charging_session_duration_minutes_human_ev,avg_charging_session_duration_minutes_aev,std_avg_charging_session_duration_minutes_aev,avg_charging_session_duration_minutes_all,std_avg_charging_session_duration_minutes_all,avg_wait_steps_waiting_charging_vehicles,std_avg_wait_steps_waiting_charging_vehicles,avg_wait_minutes_waiting_charging_vehicles,std_avg_wait_minutes_waiting_charging_vehicles,waiting_charging_vehicle_count,std_waiting_charging_vehicle_count,mean_completed_orders,std_mean_completed_orders,mean_service_ratio,std_mean_service_ratio,mean_final_battery_soc,std_mean_final_battery_soc,mean_final_battery_soc_human_ev,std_mean_final_battery_soc_human_ev,mean_final_battery_soc_aev,std_mean_final_battery_soc_aev,total_distance_km_human_ev,std_total_distance_km_human_ev,total_distance_km_aev,std_total_distance_km_aev,mcmf_aev_request_selections,std_mcmf_aev_request_selections,mcmf_aev_charge_selections,std_mcmf_aev_charge_selections,mcmf_aev_wait_selections,std_mcmf_aev_wait_selections,mcmf_aev_relocate_selections,std_mcmf_aev_relocate_selections,mcmf_low_soc_aev_charge_selections,std_mcmf_low_soc_aev_charge_selections,mcmf_low_soc_aev_wait_selections,std_mcmf_low_soc_aev_wait_selections,pct_change_vs_baseline_avg_daily_charging_sessions_per_human_ev,pct_change_vs_baseline_avg_daily_charging_sessions_per_aev,pct_change_vs_baseline_avg_daily_charging_sessions_per_vehicle,pct_change_vs_baseline_avg_wait_minutes_waiting_charging_vehicles,initial_soc_case
0.45,0.4486091241928885,0.4483093802672185,0.4489088681185587,1.0,230.0,0.1429153742145868,3,5.63,0.0909212113132393,0.0,0.0,2.815,0.0454606056566196,27.92507739464413,0.5294376106050914,0.0,0.0,27.92507739464413,0.5294376106050914,71.83833513092371,8.803518802336322,143.67667026184742,17.607037604672644,284.3333333333333,10.873004286866728,4353.333333333333,32.601976763516795,0.0339063136879217,0.000253923319523,0.4526514328281181,0.0117206656594666,0.7052706666609426,0.0234395185972696,0.2000321989952936,7.766087780928298e-06,26193.23875098632,264.8947280091743,8924.812577138024,90.53109850702651,1496.3333333333333,23.170862929310356,0.0,0.0,0.0,0.0,53234.666666666664,132.7512293309892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
0.45,0.4486091241928885,0.4483093802672185,0.4489088681185587,1.05,241.5,0.1500611429253161,3,5.63,0.1512172829628497,0.0,0.0,2.815,0.0756086414814248,28.705730675043625,0.7398602940414866,0.0,0.0,28.705730675043625,0.7398602940414866,80.0316950166917,8.158961472612814,160.0633900333834,16.31792294522563,328.6666666666667,31.689465477067017,4174.0,141.14531518970085,0.0325095604900578,0.0010993225112716,0.45560766410898,0.0131050594884042,0.7111781958157367,0.0262117608359468,0.2000371324022233,1.4967842008487003e-05,25581.30827228875,942.864664065522,8499.653012645578,86.49508084442235,1427.3333333333333,12.657891697365017,0.0,0.0,0.0,0.0,54108.333333333336,170.51360323706987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.405275290464044,0.45
0.45,0.4486091241928885,0.4483093802672185,0.4489088681185587,1.1025,253.575,0.1575642000715819,3,5.666666666666667,0.2984776187403153,0.0,0.0,2.8333333333333335,0.1492388093701576,28.377681919654748,0.5025171014728662,0.0,0.0,28.377681919654748,0.5025171014728662,77.07757764483543,4.620381454662285,154.1551552896709,9.24076290932456,322.3333333333333,38.42163742245016,4026.0,76.99350621968063,0.0313568496724899,0.0005996705912291,0.4478527662345295,0.0053481332424379,0.6956647803632575,0.0107024281023802,0.2000407521058015,7.39840098347962e-06,24649.07235259648,965.8161690670944,8094.789895077259,82.09093587496285,1369.3333333333333,27.19477073916152,0.0,0.0,0.0,0.0,54938.333333333336,207.4549482551707,0.0,0.0,0.0,0.0,0.6512729425695696,0.0,0.6512729425695696,7.293101245126765,0.45
0.45,0.4486091241928885,0.4483093802672185,0.4489088681185587,1.2,276.0,0.1714984490575041,3,5.573333333333333,0.0849836585598798,0.0,0.0,2.786666666666666,0.0424918292799399,30.41291707869797,0.2284111148365143,0.0,0.0,30.41291707869797,0.2284111148365143,80.13193604639025,5.300390939262713,160.2638720927805,10.600781878525432,347.3333333333333,11.556623882239812,3984.6666666666665,53.63042254375983,0.0310349214261421,0.0004177051906549,0.4437616670426734,0.0041996125300216,0.687483887033206,0.0083981502017967,0.2000394470521408,4.772902727755636e-06,24687.962987807405,117.3516154117005,7437.127215871938,75.75790749550275,1332.0,39.80787191833629,0.0,0.0,0.0,0.0,56107.666666666664,43.60682923070142,0.0,0.0,0.0,0.0,-1.0065127294256904,0.0,-1.0065127294256904,11.54481225149726,0.45
0.15,0.1486091241928885,0.1483093802672185,0.1489088681185586,0.8,184.0,0.1143322993716694,3,1.1133333333333333,0.1744196726926817,0.6866666666666665,0.0740870359029762,0.8999999999999999,0.0674536878161602,41.77939495798319,3.747272802618155,100.32718467972704,1.6935725774681756,64.41952397057429,6.282073539634263,43.52692745423211,4.547564187560886,87.05385490846423,9.095128375121773,54.333333333333336,9.285592184789412,2678.6666666666665,145.52510283643696,0.0208630273197656,0.0011334348666705,0.2807859617259979,0.0106830363339012,0.3338499507905332,0.0105762143919058,0.2277219726614626,0.017764789753943,4575.351480826065,738.5963041009582,16388.142778047408,1649.62059317379,2171.0,191.9235959090665,69.0,7.483314773547883,21704.333333333332,1855.5806518595616,13957.666666666666,1895.275764162625,69.0,7.483314773547883,21704.333333333332,1855.5806518595616,-1.4749262536873142,1.98019801980196,-0.1848428835489968,10.95363194631238,0.15
0.15,0.1486091241928885,0.1483093802672185,0.1489088681185586,0.9025,207.575,0.1289811252286646,3,1.0833333333333333,0.097410927974683,0.6699999999999999,0.0828653526310403,0.8766666666666666,0.0209496751499609,41.863957246935975,2.1573194604001067,102.88166067342269,0.1150791841536425,65.25261123074792,4.260975776178714,45.69893598465027,0.3334047492798557,91.39787196930054,0.6668094985597114,56.0,6.683312551921141,2563.3333333333335,120.59390071180586,0.0199647436646338,0.0009392560397514,0.2688629894775089,0.0142874200985136,0.3296960537461587,0.0221672449205308,0.2080299252088591,0.0097370746202354,4169.276496410262,532.1968567098386,15293.932981212098,1728.0621715559996,2097.0,187.37306814659,67.33333333333333,7.845734863959881,21877.0,1690.174744417472,15746.0,2016.366203512315,67.33333333333333,7.845734863959881,21877.0,1690.174744417472,-4.129793510324486,-0.4950495049505066,-2.7726432532347633,16.490256035427464,0.15
0.15,0.1486091241928885,0.1483093802672185,0.1489088681185586,0.95,218.5,0.1357696055038574,3,0.99,0.2141650453894535,0.68,0.0748331477354788,0.835,0.0962635271879576,47.074593686781945,3.987259156075685,101.2907441016334,1.367557563891397,69.4609166637294,6.162701762858829,45.800136315107146,7.683741469997342,91.60027263021428,15.367482939994684,52.333333333333336,6.847546194724712,2526.3333333333335,162.71925379485845,0.0196765659602418,0.0012673530005129,0.2649299904831791,0.0123854404342473,0.3320622137227765,0.0224697269795318,0.1977977672435817,0.0068357740961814,4019.2316654438305,810.2565407507308,14938.444736156089,1771.972291692403,2087.3333333333335,232.87383327076964,68.0,7.483314773547883,21619.0,2295.585473613794,16736.0,1655.4789840607057,68.0,7.483314773547883,21619.0,2295.585473613794,-12.389380530973447,0.990099009900991,-7.393715341959339,16.74822380101726,0.15
0.15,0.1486091241928885,0.1483093802672185,0.1489088681185586,1.0,230.0,0.1429153742145868,3,1.13,0.1899122604432549,0.6733333333333333,0.0703957069398096,0.9016666666666668,0.0837987005998435,41.21630094043887,1.681573973296864,102.2383941362652,1.9014220968826316,64.38441890166028,5.0895037414200495,39.22983564458141,1.5618112542928086,78.45967128916281,3.1236225085856173,51.0,6.164414002968976,2553.6666666666665,178.90096577591626,0.019889453994117,0.0013933856656976,0.254401399118806,0.0077668732057439,0.3137947849648613,0.0146714623652938,0.1950080132727507,0.0011293465664386,4547.945351357787,1026.4022242621902,14288.481971275096,1826.398621721832,2034.0,229.06039960383083,67.66666666666667,6.599663291074444,21115.666666666668,2207.0954266234667,18298.666666666668,1676.0481960718064,67.66666666666667,6.599663291074444,21115.666666666668,2207.0954266234667,0.0,0.0,0.0,0.0,0.15
0.15,0.1486091241928885,0.1483093802672185,0.1489088681185586,1.05,241.5,0.1500611429253161,3,1.0133333333333334,0.1033870827951388,0.6699999999999999,0.0828653526310403,0.8416666666666667,0.0412983723112129,46.773388773388774,0.6818740047100751,102.94682358069086,0.0726228262176685,69.4037037037037,2.8826796994562303,45.23405224198737,3.264728253308565,90.46810448397474,6.52945650661713,52.0,6.377042156569663,2372.3333333333335,174.82435629956015,0.0184771236230427,0.0013616346397355,0.2652317049617939,0.0120604814829173,0.3313391281547045,0.0195120144479467,0.1991242817688832,0.0068109544418727,3955.972506760127,455.4010690596541,13470.416017245798,1740.3760055738474,1923.0,207.64553129472029,68.0,8.04155872120988,21694.333333333332,2282.7104259824305,19059.666666666668,1483.3692130492063,68.0,8.04155872120988,21694.333333333332,2282.7104259824305,-10.324483775811188,-0.4950495049505066,-6.654343807763407,15.30523005959954,0.15
0.15,0.1486091241928885,0.1483093802672185,0.1489088681185586,1.1025,253.575,0.1575642000715819,3,1.096666666666667,0.0694422221866655,0.6699999999999999,0.0864098759787714,0.8833333333333333,0.0490464632318738,42.922095531587054,2.3686396030964336,103.15267605633802,1.999880337622371,65.84854256854256,1.085274487018023,46.209698860196376,3.1671229033720096,92.41939772039277,6.334245806744019,59.0,5.715476066494082,2369.3333333333335,220.69788298838657,0.0184537578632272,0.0017189245752368,0.2594722861074082,0.0123844003485392,0.3249741351803046,0.024774908054125,0.1939704370345117,0.0003311747555984,4000.320352451732,398.63693646037694,13004.690099226063,1703.0198417952276,1916.0,227.84790248467652,67.33333333333333,8.178562764256865,21751.333333333332,2303.804727450272,20062.333333333332,1460.571197245181,67.33333333333333,8.178562764256865,21751.333333333332,2303.804727450272,-2.9498525073746173,-0.4950495049505066,-2.0332717190388316,17.79223160364949,0.15
0.15,0.1486091241928885,0.1483093802672185,0.1489088681185586,1.2,276.0,0.1714984490575041,3,0.99,0.1626857912254991,0.6833333333333332,0.0784573486395988,0.8366666666666666,0.0554276304943863,46.82509539842872,1.3347835545672906,101.22833258695329,0.8958518858439639,69.377728027935,4.552016672386391,43.45429858852318,5.545262603041989,86.90859717704636,11.090525206083978,51.666666666666664,7.318166133366716,2189.6666666666665,169.3936900307158,0.0170544084698283,0.0013193374251767,0.2570512218922355,0.0118233079561415,0.3208005797875395,0.0234636355789222,0.1933018639969315,0.0002369497562828,3575.2053468374106,634.7401032870658,12009.690964465384,1568.505088149357,1793.0,219.20918472241684,68.66666666666667,7.408703590297623,21576.333333333332,2226.397588532251,22174.666666666668,1311.9716290970457,68.66666666666667,7.408703590297623,21576.333333333332,2226.397588532251,-12.389380530973437,1.4851485148514645,-7.208872458410365,10.768495137769651,0.15
