initial_soc_case,realized_initial_battery_mean_human_ev,realized_initial_battery_mean_aev,avg_daily_charging_sessions_per_human_ev,std_avg_daily_charging_sessions_per_human_ev,avg_daily_charging_sessions_per_aev,std_avg_daily_charging_sessions_per_aev,avg_charging_session_duration_minutes_human_ev,avg_charging_session_duration_minutes_aev,avg_wait_minutes_waiting_charging_vehicles,mean_final_battery_soc_human_ev,mean_final_battery_soc_aev,mean_completed_orders,mean_service_ratio
0.875,0.8733093802672185,0.8739088681185588,5.676666666666667,0.2548637980482034,0.0,0.0,21.391390906645142,0.0,9.948636375995868,0.7099951214618071,0.2000889257766155,7249.666666666667,0.0564646566920834
0.45,0.4483093802672185,0.4489088681185587,5.63,0.0909212113132393,0.0,0.0,27.92507739464413,0.0,143.67667026184742,0.7052706666609426,0.2000321989952936,4353.333333333333,0.0339063136879217
0.15,0.1483093802672185,0.1489088681185586,1.13,0.1899122604432549,0.6733333333333333,0.0703957069398096,41.21630094043887,102.2383941362652,78.45967128916281,0.3137947849648613,0.1950080132727507,2553.6666666666665,0.019889453994117
