battery_consumption_ratio,seed,episodes,observation_days,human_ev_vehicle_count,aev_vehicle_count,all_vehicle_count,base_consumption_wh_per_mile,effective_consumption_wh_per_mile,effective_consumption_kwh_per_km,configured_initial_battery_mean,realized_initial_battery_mean,realized_initial_battery_mean_human_ev,realized_initial_battery_mean_aev,avg_daily_charging_sessions_per_human_ev,avg_daily_charging_sessions_per_aev,avg_daily_charging_sessions_per_vehicle,avg_charging_session_duration_minutes_human_ev,avg_charging_session_duration_minutes_aev,avg_charging_session_duration_minutes_all,avg_wait_steps_waiting_charging_vehicles,avg_wait_minutes_waiting_charging_vehicles,waiting_charging_vehicle_count,mean_completed_orders,mean_service_ratio,mean_final_battery_soc,mean_final_battery_soc_human_ev,mean_final_battery_soc_aev,total_distance_km_human_ev,total_distance_km_aev,mcmf_aev_request_selections,mcmf_aev_charge_selections,mcmf_aev_wait_selections,mcmf_aev_relocate_selections,mcmf_low_soc_aev_charge_selections,mcmf_low_soc_aev_wait_selections,initial_soc_case
1.0,512,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.875,0.8755651451554806,0.8739495736884639,0.8771807166224973,5.41,0.0,2.705,21.853107344632768,0.0,21.853107344632768,5.6923076923076925,11.384615384615383,78.0,7220.0,0.0562335952894628,0.4560627898026482,0.712055598126254,0.2000699814790422,32062.656902180566,24281.450030699325,3635,0,0,22150,0,0,0.875
1.0,1024,1,1.0,100,100,200,230.0,230.0,0.1429153742145868,0.875,0.8746093531058361,0.8756884990275522,0.87353020718412,5.6,0.0,2.8,21.714285714285715,0.0,21.714285714285715,4.608695652173913,9.217391304347826,69.0,7266.0,0.0565918702733015,0.4574194002382175,0.7147203652961669,0.2001184351802681,32814.17053755426,24148.803797257693,3633,0,0,22378,0,0,0.875
1.05,256,1,1.0,100,100,200,230.0,241.5,0.1500611429253161,0.875,0.8706528743173492,0.8702900680856395,0.871015680549059,5.93,0.0,2.965,21.07745266781411,0.0,21.07745266781411,6.096774193548387,12.193548387096774,93.0,6962.0,0.0542241399453241,0.4519774525703751,0.7038841529338022,0.2000707522069479,32139.186965601777,22914.61127591609,3424,0,0,24985,0,0,0.875
1.05,512,1,1.0,100,100,200,230.0,241.5,0.1500611429253161,0.875,0.8755651451554806,0.8739495736884639,0.8771807166224973,5.8,0.0,2.9,21.657342657342657,0.0,21.657342657342657,5.556962025316456,11.113924050632912,79.0,6944.0,0.0540839453864307,0.4604732838128757,0.720907243212107,0.2000393244136443,31707.144879617575,23126.237528375445,3433,0,0,24642,0,0,0.875
1.05,1024,1,1.0,100,100,200,230.0,241.5,0.1500611429253161,0.875,0.8746093531058361,0.8756884990275522,0.87353020718412,5.61,0.0,2.805,22.218579234972676,0.0,22.218579234972676,4.630769230769231,9.261538461538462,65.0,7039.0,0.0548238611139236,0.4426376820752354,0.6852129797568911,0.2000623843935797,32754.787451086308,23000.775047537067,3378,0,0,24962,0,0,0.875
1.1025,256,1,1.0,100,100,200,230.0,253.575,0.1575642000715819,0.875,0.8706528743173492,0.8702900680856395,0.871015680549059,6.06,0.0,3.03,22.134680134680135,0.0,22.134680134680135,6.546218487394958,13.092436974789916,119.0,6714.0,0.0522925704672373,0.4541092375202034,0.7081675028206493,0.2000509722197573,32283.683373088817,21824.082682648852,3095,0,0,27683,0,0,0.875
1.1025,512,1,1.0,100,100,200,230.0,253.575,0.1575642000715819,0.875,0.8755651451554806,0.8739495736884639,0.8771807166224973,5.76,0.0,2.88,22.566901408450704,0.0,22.566901408450704,5.037383177570093,10.074766355140186,107.0,6719.0,0.0523315134002632,0.4508772726927189,0.7017115415703705,0.2000430038150673,31789.08699864943,22024.868444490916,3221,0,0,27020,0,0,0.875
1.1025,1024,1,1.0,100,100,200,230.0,253.575,0.1575642000715819,0.875,0.8746093531058361,0.8756884990275522,0.87353020718412,5.92,0.0,2.96,23.077720207253886,0.0,23.077720207253886,6.01,12.02,100.0,6818.0,0.0531025834741769,0.4533792053924591,0.7067011548381966,0.2000572559467212,33002.09703090685,21905.666855310898,3228,0,0,27204,0,0,0.875
1.2,256,1,1.0,100,100,200,230.0,276.0,0.1714984490575041,0.875,0.8706528743173492,0.8702900680856395,0.871015680549059,5.92,0.0,2.96,23.237113402061855,0.0,23.237113402061855,6.2272727272727275,12.454545454545457,110.0,6285.0,0.0489512668136113,0.4469150944355522,0.6937842809172524,0.2000459079538519,30831.124786272947,20051.02730344457,2932,0,0,31075,0,0,0.875
1.2,512,1,1.0,100,100,200,230.0,276.0,0.1714984490575041,0.875,0.8755651451554806,0.8739495736884639,0.8771807166224973,5.68,0.0,2.84,24.622540250447223,0.0,24.622540250447223,7.58,15.16,100.0,6398.0,0.0498313770999976,0.4520851792221487,0.7041236267300754,0.2000467317142218,31118.8581540549,20235.23648013446,3023,0,0,30481,0,0,0.875
